title,year
Red 2,2013
Red Line,2013
Red Obsession,2013
Riddick,2013
Riddle,2013
Robosapien: Rebooted,2013
Romeo and Juliet,2013
Run,2013
Runner Runner,2013
Rush,2013
Safe Haven,2013
Salinger,2013
Savannah,2013
Saving Mr. Banks,2013
Scary MoVie,2013
Scenic Route,2013
Self Storage,2013
Serena,2013
Short Term 12,2013
Shuddh Desi Romance,2013
Side Effects,2013
Silver Falls,2013
Snake and Mongoose,2013
Snitch,2013
Snowpiercer,2013
Some Girl(s),2013
Spiders,2013
Standing Up,2013
Star Trek Into Darkness,2013
Stoker,2013
Straight A's,2013
Stranded,2013
Studentfesten,2013
Suddenly,2013
Summer in February,2013
Sunshine on Leith,2013
Syrup,2013
Tarzan,2013
Temptation: Confessions of a Marriage Counselor,2013
Texas Chainsaw 3D,2013
The Adventurer: The Curse of the Midas Box,2013
The Adventures of Mickey Matson and the Copperhead Treasure,2013
The Amityville Asylum,2013
The Angriest Man in Brooklyn,2013
The Art of the Steal,2013
The Bell Witch Haunting,2013
The Best Man Holiday,2013
The Big Wedding,2013
The Blackout,2013
The Bling Ring,2013
The Book Thief,2013
The Butler,2013
The Call,2013
The Cloth,2013
The Colony,2013
The Congress,2013
The Conjuring,2013
The Contractor,2013
The Counselor,2013
The Croods,2013
The Demented,2013
The Devil You Know,2013
The Dirties,2013
The Disappearance of Eleanor Rigby: Him,2013
The Door,2013
The Double,2013
The Dyatlov Pass Incident,2013
The East,2013
The English Teacher,2013
The F Word,2013
The Family,2013
The Fifth Estate,2013
The Frozen Ground,2013
The Good Road,2013
The Great Gatsby,2013
The Green Inferno,2013
The Hangover Part III,2013
The Haunting in Connecticut 2: Ghosts of Georgia,2013
The Heat,2013
The Hobbit: The Desolation of Smaug,2013
The Host,2013
The Hot Flashes,2013
The Hunger Games: Catching Fire,2013
The Incredible Burt Wonderstone,2013
The Internship,2013
The Invisible Woman,2013
The Kings of Summer,2013
The Last Days on Mars,2013
The Last Exorcism Part II,2013
The Last Keepers,2013
The Last Knights,2013
The Last Stand,2013
The Last of Robin Hood,2013
The Lifeguard,2013
The Lone Ranger,2013
The Look of Love,2013
The Lost Medallion: The Adventures of Billy Stone,2013
The Lunchbox,2013
The Monuments Men,2013
The Mortal Instruments: City of Bones,2013
The Necessary Death of Charlie Countryman,2013
The Numbers Station,2013
The Package,2013
The Philosophers,2013
The Power of Few,2013
The Prototype,2013
The Purge,2013
The Railway Man,2013
The Rover,2013
The Secret Life of Walter Mitty,2013
The Secret Lives of Dorks,2013
The Short Game,2013
The Smurfs 2,2013
The Spectacular Now,2013
The Stranger Within,2013
The Truth About Emanuel,2013
The Turning,2013
The Ultimate Life,2013
The Way Way Back,2013
The Wee Man,2013
The Wolf of Wall Street,2013
The Wolverine,2013
The World's End,2013
The Young and Prodigious T.S. Spivet,2013
The Zero Theorem,2013
Therese,2013
Third Person,2013
This Is the End,2013
Thor: The Dark World,2013
Touchy Feely,2013
Trance,2013
Trust Me,2013
Turbo,2013
Unstoppable,2013
Upstream Color,2013
V/H/S/2,2013
Vamp U,2013
Vehicle 19,2013
Vi,2013
Vikingdom,2013
Wakolda,2013
Warm Bodies,2013
We Are What We Are,2013
We're the Millers,2013
Welcome to the Punch,2013
Where the Devil Hides,2013
White House Down,2013
Wolf,2013
World War Z,2013
Yeh Jawaani Hai Deewani,2013
Yi dai zong shi,2013
Yip Man: Jung gik yat jin,2013
You Are Here,2013
Zero Charisma,2013
Zombie Hunter,2013
Zulu,2013
jOBS,2013
uwantme2killhim?,2013
3 Men and a Baby,1987
A Nightmare on Elm Street 3: Dream Warriors,1987
Adventures in Babysitting,1987
Angel Heart,1987
Beverly Hills Cop II,1987
Can't Buy Me Love,1987
Der Himmel uber Berlin,1987
Dirty Dancing,1987
Empire of the Sun,1987
Evil Dead II,1987
Fatal Attraction,1987
Flowers in the Attic,1987
Full Metal Jacket,1987
"Good Morning, Vietnam",1987
Harry and the Hendersons,1987
Hellraiser,1987
Innerspace,1987
La Bamba,1987
Less Than Zero,1987
Lethal Weapon,1987
Mannequin,1987
Masters of the Universe,1987
Moonstruck,1987
Over the Top,1987
Overboard,1987
"Planes, Trains & Automobiles",1987
Police Academy 4: Citizens on Patrol,1987
Predator,1987
Prince of Darkness,1987
Raising Arizona,1987
RoboCop,1987
Some Kind of Wonderful,1987
Spaceballs,1987
Summer School,1987
Superman IV: The Quest for Peace,1987
The Last Emperor,1987
The Living Daylights,1987
The Lost Boys,1987
The Monster Squad,1987
The Princess Bride,1987
The Principal,1987
The Running Man,1987
The Untouchables,1987
The Witches of Eastwick,1987
Throw Momma from the Train,1987
Wall Street,1987
Withnail & I,1987
City Lights,1931
Dracula,1931
Frankenstein,1931
M,1931
Street Scene,1931
The Public Enemy,1931
A Streetcar Named Desire,1951
Alice in Wonderland,1951
An American in Paris,1951
Operation Pacific,1951
Storm Warning,1951
Strangers on a Train,1951
The African Queen,1951
The Day the Earth Stood Still,1951
10 Things I Hate About You,1999
200 Cigarettes,1999
8MM,1999
A Midsummer Night's Dream,1999
American Beauty,1999
Analyze This,1999
Anna and the King,1999
Any Given Sunday,1999
Arlington Road,1999
Austin Powers: The Spy Who Shagged Me,1999
Being John Malkovich,1999
Bicentennial Man,1999
Big Daddy,1999
Blast from the Past,1999
Blue Streak,1999
Bringing Out the Dead,1999
Brokedown Palace,1999
Crazy in Alabama,1999
Deep Blue Sea,1999
Detroit Rock City,1999
Deuce Bigalow: Male Gigolo,1999
Dogma,1999
Double Jeopardy,1999
Drive Me Crazy,1999
Drop Dead Gorgeous,1999
Edtv,1999
Election,1999
End of Days,1999
Entrapment,1999
Fight Club,1999
For Love of the Game,1999
Forces of Nature,1999
Galaxy Quest,1999
Ghost Dog: The Way of the Samurai,1999
"Girl, Interrupted",1999
Go,1999
House on Haunted Hill,1999
Idle Hands,1999
In Dreams,1999
Inspector Gadget,1999
Instinct,1999
Jawbreaker,1999
Joan of Arc,1999
Lake Placid,1999
Life,1999
Magnolia,1999
Man on the Moon,1999
Mansfield Park,1999
Message in a Bottle,1999
Mystery Men,1999
Never Been Kissed,1999
Notting Hill,1999
October Sky,1999
Odishon,1999
Office Space,1999
Outside Providence,1999
Payback,1999
Pushing Tin,1999
Runaway Bride,1999
She's All That,1999
Sleepy Hollow,1999
South Park: Bigger Longer & Uncut,1999
Star Wars: Episode I - The Phantom Menace,1999
Stigmata,1999
Stir of Echoes,1999
Stuart Little,1999
Superstar,1999
Tarzan,1999
Teaching Mrs. Tingle,1999
The 13th Warrior,1999
The Astronaut's Wife,1999
The Best Man,1999
The Blair Witch Project,1999
The Bone Collector,1999
The Boondock Saints,1999
The Cider House Rules,1999
The General's Daughter,1999
The Haunting,1999
The Hurricane,1999
The Insider,1999
The Iron Giant,1999
The Love Letter,1999
The Matrix,1999
The Mummy,1999
The Ninth Gate,1999
The Other Sister,1999
The Rage: Carrie 2,1999
The Sixth Sense,1999
The Straight Story,1999
The Wood,1999
The World Is Not Enough,1999
Three Kings,1999
Titus,1999
Todo sobre mi madre,1999
Toy Story 2,1999
Varsity Blues,1999
Wild Wild West,1999
eXistenZ,1999
Ace Ventura: Pet Detective,1994
Airheads,1994
Andre,1994
Angels in the Outfield,1994
Baby's Day Out,1994
Blue Sky,1994
Camp Nowhere,1994
Clear and Present Danger,1994
Clerks.,1994
D2: The Mighty Ducks,1994
Don Juan DeMarco,1994
Dumb & Dumber,1994
Ed Wood,1994
Exotica,1994
Forrest Gump,1994
Four Weddings and a Funeral,1994
Frankenstein,1994
Heavenly Creatures,1994
I Like It Like That,1994
In the Mouth of Madness,1994
Interview with the Vampire: The Vampire Chronicles,1994
It Could Happen to You,1994
Jui kuen II,1994
Junior,1994
Legends of the Fall,1994
Leon,1994
Little Big League,1994
Little Giants,1994
Little Women,1994
Maverick,1994
Muriel's Wedding,1994
My Girl 2,1994
Naked Gun 33 1/3: The Final Insult,1994
Natural Born Killers,1994
Nell,1994
New Nightmare,1994
Once Were Warriors,1994
Only You,1994
PCU,1994
Pulp Fiction,1994
Quiz Show,1994
Reality Bites,1994
Richie Rich,1994
Serial Mom,1994
Shallow Grave,1994
Speed,1994
Star Trek: Generations,1994
Stargate,1994
Street Fighter,1994
The Client,1994
The Crow,1994
The Flintstones,1994
The Hudsucker Proxy,1994
The Jungle Book,1994
The Lion King,1994
The Little Rascals,1994
The Mask,1994
The Next Karate Kid,1994
The Pagemaster,1994
The River Wild,1994
The Santa Clause,1994
The Shadow,1994
The Shawshank Redemption,1994
The Specialist,1994
The War,1994
Thumbelina,1994
Trois couleurs: Rouge,1994
True Lies,1994
When a Man Loves a Woman,1994
Wolf,1994
Wyatt Earp,1994
10 Years,2011
30 Minutes or Less,2011
360,2011
3D rou pu tuan zhi ji le bao jian,2011
50/50,2011
A Better Life,2011
A Dangerous Method,2011
A Few Best Men,2011
A Good Old Fashioned Orgy,2011
A Little Bit of Heaven,2011
A Lonely Place to Die,2011
A Very Harold & Kumar 3D Christmas,2011
Abduction,2011
Absentia,2011
Age of Heroes,2011
Albert Nobbs,2011
Alvin and the Chipmunks: Chipwrecked,2011
Anonymous,2011
Another Earth,2011
Apollo 18,2011
Arthur Christmas,2011
Assassination Games,2011
Atlas Shrugged: Part I,2011
Attack the Block,2011
Battle Los Angeles,2011
Beastly,2011
Beneath the Darkness,2011
Bernie,2011
"Big Mommas: Like Father, Like Son",2011
Black Butterflies,2011
Black Gold,2011
Blitz,2011
Bridesmaids,2011
Bully,2011
Butter,2011
Captain America: The First Avenger,2011
Carnage,2011
Cars 2,2011
Catch .44,2011
Cedar Rapids,2011
Chalet Girl,2011
Colombiana,2011
Conan the Barbarian,2011
Contagion,2011
Coriolanus,2011
Courageous,2011
Cowboys & Aliens,2011
"Crazy, Stupid, Love.",2011
Damsels in Distress,2011
Detention,2011
Diary of a Wimpy Kid: Rodrick Rules,2011
Divination,2011
Dolphin Tale,2011
Dream House,2011
Drive,2011
Drive Angry,2011
Emergo,2011
Extremely Loud & Incredibly Close,2011
Faces in the Crowd,2011
Fast Five,2011
Final Destination 5,2011
Finding Kind,2011
Floquet de Neu,2011
Flypaper,2011
Footloose,2011
Forces speciales,2011
Friends with Kids,2011
Fright Night,2011
From Prada to Nada,2011
Ghost Rider: Spirit of Vengeance,2011
Girl Walks Into a Bar,2011
Gnomeo & Juliet,2011
God Bless America,2011
Goon,2011
Grave Encounters,2011
Green Lantern,2011
"Guns, Girls and Gambling",2011
Hall Pass,2011
Hanna,2011
Happy Feet Two,2011
Harry Potter and the Deathly Hallows: Part 2,2011
Haywire,2011
Hell,2011
Hick,2011
Higher Ground,2011
Hodejegerne,2011
Honey 2,2011
Hoodwinked Too! Hood vs. Evil,2011
Hop,2011
Horrible Bosses,2011
Hugo,2011
Hur manga lingon finns det i varlden?,2011
I Am Number Four,2011
I Don't Know How She Does It,2011
I Melt with You,2011
Immortals,2011
In Darkness,2011
In Time,2011
In the Land of Blood and Honey,2011
Intouchables,2011
Intruders,2011
Ironclad,2011
J. Edgar,2011
Jack and Jill,2011
Jane Eyre,2011
"Jeff, Who Lives at Home",2011
Jiro Dreams of Sushi,2011
Jodaeiye Nader az Simin,2011
Johnny English Reborn,2011
Jumping the Broom,2011
Just Go with It,2011
Justin Bieber: Never Say Never,2011
Kill List,2011
Kill the Irishman,2011
Killer Elite,2011
Killer Joe,2011
Kokuriko-zaka kara,2011
Kung Fu Panda 2,2011
L!fe Happens,2011
La delicatesse,2011
La piel que habito,2011
Larry Crowne,2011
Like Crazy,2011
Limitless,2011
Little Birds,2011
Love,2011
"Love, Wedding, Marriage",2011
Lovely Molly,2011
Machine Gun Preacher,2011
Madea's Big Happy Family,2011
Mardi Gras: Spring Break,2011
Margaret,2011
Margin Call,2011
Mars Needs Moms,2011
Martha Marcy May Marlene,2011
Megan Is Missing,2011
Melancholia,2011
Midnight in Paris,2011
Mientras duermes,2011
Miss Bala,2011
Mission: Impossible - Ghost Protocol,2011
Moneyball,2011
Monte Carlo,2011
Mr. Popper's Penguins,2011
My Week with Marilyn,2011
Never Back Down 2: The Beatdown,2011
New Year's Eve,2011
No Strings Attached,2011
October Baby,2011
One Day,2011
Our Idiot Brother,2011
Panic Button,2011
Paranormal Activity 3,2011
Paul,2011
"Peace, Love, & Misunderstanding",2011
Perfect Sense,2011
Pirates of the Caribbean: On Stranger Tides,2011
Priest,2011
Prom,2011
Puncture,2011
Puss in Boots,2011
Rampart,2011
Rango,2011
Real Steel,2011
Recoil,2011
Red Dog,2011
Red Riding Hood,2011
Restless,2011
Retreat,2011
Rio,2011
Rise of the Planet of the Apes,2011
Rundskop,2011
Salmon Fishing in the Yemen,2011
Samsara,2011
Sanctum,2011
Scream 4,2011
Season of the Witch,2011
Seeking Justice,2011
Serbuan maut,2011
Setup,2011
Shark Night 3D,2011
Sherlock Holmes: A Game of Shadows,2011
Silent House,2011
Sisters & Brothers,2011
Sleeping Beauty,2011
Snowtown,2011
Something Borrowed,2011
Soul Surfer,2011
Sound of My Voice,2011
Source Code,2011
Spy Kids: All the Time in the World in 4D,2011
Starbuck,2011
State of Emergency,2011
Straw Dogs,2011
Sucker Punch,2011
Super 8,2011
Take Me Home Tonight,2011
Take Shelter,2011
Take This Waltz,2011
Texas Killing Fields,2011
The Adventures of Tintin,2011
The Art of Getting By,2011
The Artist,2011
The Awakening,2011
The Beaver,2011
The Best Exotic Marigold Hotel,2011
The Big Year,2011
The Caller,2011
The Darkest Hour,2011
The Day,2011
The Decoy Bride,2011
The Descendants,2011
The Details,2011
The Devil's Double,2011
The Devil's Rock,2011
The Divide,2011
The Double,2011
The Eagle,2011
The Entitled,2011
The Family Tree,2011
The Girl with the Dragon Tattoo,2011
The Good Doctor,2011
The Green Hornet,2011
The Grey,2011
The Guard,2011
The Hangover Part II,2011
The Help,2011
The Human Centipede II (Full Sequence),2011
The Hunter,2011
The Ides of March,2011
The Inbetweeners Movie,2011
The Innkeepers,2011
The Iron Lady,2011
The Lady,2011
The Ledge,2011
The Lincoln Lawyer,2011
The Loneliest Planet,2011
The Mechanic,2011
The Moth Diaries,2011
The Muppets,2011
The Pill,2011
The Resident,2011
The Reunion,2011
The Rite,2011
The Roommate,2011
The Rum Diary,2011
The Sitter,2011
The Smurfs,2011
The Son of No One,2011
The Thing,2011
The Three Musketeers,2011
The Tree of Life,2011
The Trouble with Bliss,2011
The Tunnel,2011
The Twilight Saga: Breaking Dawn - Part 1,2011
The Woman,2011
This Must Be the Place,2011
Thor,2011
Tinker Tailor Soldier Spy,2011
Touchback,2011
Tower Heist,2011
Transformers: Dark of the Moon,2011
Trespass,2011
Twixt,2011
Tyrannosaur,2011
Un monstre a Paris,2011
Unknown,2011
Vampire,2011
Video Girl,2011
Violet & Daisy,2011
War Horse,2011
Warrior,2011
Water for Elephants,2011
We Bought a Zoo,2011
We Need to Talk About Kevin,2011
What's Your Number?,2011
Wild Bill,2011
Win Win,2011
Winnie the Pooh,2011
Wrong Turn 4: Bloody Beginnings,2011
Wu xia,2011
Wuthering Heights,2011
X-Men: First Class,2011
Xin shao lin si,2011
You May Not Kiss the Bride,2011
You're Next,2011
Young Adult,2011
Your Highness,2011
Your Sister's Sister,2011
Zookeeper,2011
Airplane!,1980
American Gigolo,1980
Any Which Way You Can,1980
Caddyshack,1980
Cannibal Holocaust,1980
Coal Miner's Daughter,1980
Dressed to Kill,1980
Fame,1980
Flash Gordon,1980
Friday the 13th,1980
Ordinary People,1980
Popeye,1980
Private Benjamin,1980
Raging Bull,1980
Somewhere in Time,1980
Star Wars: Episode V - The Empire Strikes Back,1980
Superman II,1980
The Blues Brothers,1980
The Changeling,1980
The Elephant Man,1980
The Fog,1980
The Gods Must Be Crazy,1980
The Shining,1980
Xanadu,1980
2010,1984
A Nightmare on Elm Street,1984
Against All Odds,1984
Amadeus,1984
Bachelor Party,1984
Beverly Hills Cop,1984
Blood Simple.,1984
Body Double,1984
Breakin',1984
Children of the Corn,1984
Cloak & Dagger,1984
Conan the Destroyer,1984
Die unendliche Geschichte,1984
Dune,1984
Footloose,1984
Friday the 13th: The Final Chapter,1984
Ghost Busters,1984
Gremlins,1984
Indiana Jones and the Temple of Doom,1984
Kaze no tani no Naushika,1984
Nineteen Eighty-Four,1984
Once Upon a Time in America,1984
"Paris, Texas",1984
Police Academy,1984
Red Dawn,1984
Repo Man,1984
Revenge of the Nerds,1984
Romancing the Stone,1984
Sixteen Candles,1984
Splash,1984
Star Trek III: The Search for Spock,1984
Streets of Fire,1984
Supergirl,1984
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984
The Bounty,1984
The Karate Kid,1984
The Killing Fields,1984
The Last Starfighter,1984
The Natural,1984
The Philadelphia Experiment,1984
The Terminator,1984
This Is Spinal Tap,1984
Top Secret!,1984
2 Days in New York,2012
21 Jump Street,2012
40 Days and Nights,2012
6 Bullets,2012
A Fantastic Fear of Everything,2012
A Glimpse Inside the Mind of Charles Swan III,2012
A Late Quartet,2012
A Perfect Ending,2012
A Thousand Words,2012
A.C.A.B.: All Cops Are Bastards,2012
ATM,2012
Abraham Lincoln: Vampire Hunter,2012
Act of Valor,2012
Aftershock,2012
Alex Cross,2012
Alien Uprising,2012
Amber Alert,2012
American Mary,2012
American Reunion,2012
Among Friends,2012
Amour,2012
Antiviral,2012
Apartment 1303 3D,2012
Arbitrage,2012
Argo,2012
Arthur Newman,2012
Asterix et Obelix: Au service de Sa Majeste,2012
At Any Price,2012
Atlas Shrugged II: The Strike,2012
Bachelorette,2012
Bad Ass,2012
Bad Kids Go to Hell,2012
Bait,2012
Battleship,2012
Beasts of the Southern Wild,2012
Being Flynn,2012
Bel Ami,2012
Best Man Down,2012
Big Miracle,2012
Biohazard: Damnation,2012
Black Rock,2012
Blancanieves,2012
Blood,2012
Bloody Homecoming,2012
Brake,2012
Branded,2012
Brave,2012
Broken,2012
Bullet to the Head,2012
Byzantium,2012
Casa de mi Padre,2012
Celeste & Jesse Forever,2012
Chained,2012
Chasing Ice,2012
Chasing Mavericks,2012
Chernobyl Diaries,2012
Chronicle,2012
Cirque du Soleil: Worlds Away,2012
Citadel,2012
Cleanskin,2012
Cloud Atlas,2012
Cockneys vs Zombies,2012
Cold Blooded,2012
Columbus Circle,2012
Come Out and Play,2012
Compliance,2012
Contraband,2012
Cosmopolis,2012
Dans la maison,2012
Dark Blood,2012
Dark Shadows,2012
Dark Tide,2012
De rouille et d'os,2012
Dead Mine,2012
Dead Season,2012
Deadfall,2012
Despues de Lucia,2012
Devoured,2012
Diary of a Wimpy Kid: Dog Days,2012
Disconnect,2012
Divorce Invitation,2012
Django Unchained,2012
Dracula 3D,2012
Dredd,2012
Du zhan,2012
Earthbound,2012
El Gringo,2012
El cuerpo,2012
Electrick Children,2012
Emperor,2012
En kongelig affaere,2012
End of Watch,2012
Errors of the Human Body,2012
Excision,2012
Extracted,2012
Fairytale,2012
Fast Girls,2012
Filly Brown,2012
Fin,2012
Fire with Fire,2012
Flight,2012
Frances Ha,2012
Frankenweenie,2012
Frankie Go Boom,2012
Free Samples,2012
Freelancers,2012
Freeloaders,2012
Fun Size,2012
Gallowwalkers,2012
Gambit,2012
Get the Gringo,2012
Ginger & Rosa,2012
Girl Most Likely,2012
Girls Gone Dead,2012
Goats,2012
Gone,2012
Good Deeds,2012
Grassroots,2012
Grave Encounters 2,2012
Great Expectations,2012
Greetings from Tim Buckley,2012
Hannah Arendt,2012
Here Comes the Boom,2012
Hit and Run,2012
Hitchcock,2012
Holy Motors,2012
Hope Springs,2012
Hotel Transylvania,2012
House at the End of the Street,2012
I Declare War,2012
Ice Age: Continental Drift,2012
In Their Skin,2012
Interview with a Hitman,2012
Into the White,2012
Iron Sky,2012
It's a Disaster,2012
Jack Reacher,2012
Jack and Diane,2012
Jagten,2012
Jayne Mansfield's Car,2012
Jewtopia,2012
John Carter,2012
John Dies at the End,2012
Journey 2: The Mysterious Island,2012
Joyful Noise,2012
Kapringen,2012
Katy Perry: Part of Me,2012
Killing Them Softly,2012
Kiss of the Damned,2012
Kon-Tiki,2012
LOL,2012
Las aventuras de Tadeo Jones,2012
Last Kind Words,2012
Lawless,2012
Lay the Favorite,2012
Lemale et ha'halal,2012
Les Miserables,2012
Les adieux a la reine,2012
Les infideles,2012
Les saveurs du Palais,2012
Liberal Arts,2012
Life of Pi,2012
Lincoln,2012
Lo imposible,2012
Lockout,2012
Lola Versus,2012
Looper,2012
Lore,2012
Love Sick Love,2012
Mac & Devin Go to High School,2012
Madagascar 3: Europe's Most Wanted,2012
Madea's Witness Protection,2012
Magic Mike,2012
Man on a Ledge,2012
Maniac,2012
Maximum Conviction,2012
Meeting Evil,2012
Men in Black 3,2012
Mental,2012
Mirror Mirror,2012
Moonrise Kingdom,2012
Much Ado About Nothing,2012
Mud,2012
Museum Hours,2012
My Amityville Horror,2012
No,2012
No One Lives,2012
Nobody Walks,2012
Noobz,2012
Not Fade Away,2012
On the Road,2012
One for the Money,2012
Ot vinta 3D,2012
ParaNorman,2012
Paradies: Glaube,2012
Paranormal Activity 4,2012
Parental Guidance,2012
Passion,2012
People Like Us,2012
Perfect Sisters,2012
Piranha 3DD,2012
Pitch Perfect,2012
Playing for Keeps,2012
Populaire,2012
Premium Rush,2012
Project X,2012
Prometheus,2012
Promised Land,2012
Pusher,2012
Quartet,2012
Rebelle,2012
Red Dawn,2012
Red Lights,2012
Red Tails,2012
Renoir,2012
